Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius mm,Rolling Circumference mm,Load Index PR Symbols,Inflation Pressure bar,Recommended Load,Recommended Load,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed,Speed,Speed
,,,,,,,,Hard Improved Surfaces,Hard Improved Surfaces,Hard Improved Surfaces,Hard Improved Surfaces
,,SW mm,OD mm,,,,,Static kmph,5 kmph,10 kmph,25 kmph
16.00-24 L-3,11.25,432,1493,685,4450,16PR 181A2,4.2,13250,10670,9940,9200
,,,,,,,4.5,13810,11120,10350,9590
,,,,,,,4.8,14330,11540,10750,9950
,,,,,,,5.1,14850,11960,11140,10310
,,,,,,"20PR
187A2",5.4,15610,12570,11700,10840
,,,,,,,5.7,16110,12980,12080,11190
,,,,,,,6,16600,13370,12450,11530
,,,,,,,6.6,17550,14140,13160,12190
,,,,,,"24PR
190A2",6.9,17770,14310,13320,12340
,,,,,,,7.2,18220,14670,13660,12650
,,,,,,,7.5,18650,15020,13990,12950
,,,,,,,7.8,19080,15370,14310,13250
