Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius mm,Rolling Circumference mm,Load Index PR Symbols,Inflation Pressure bar,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed
,,,,,,,,CYCLIC OPERATION,CYCLIC OPERATION
,,SW mm,OD mm,,,,,10 kmph,15 kmph
300/95R52 (12.4R52),W10X52 W9X52,310,1890,887,5781,156D 159A8,1,2380,2170
,,,,,,,1.5,3060,2790
,,,,,,,2,3710,3380
,,,,,,,2.5,4130,3770
,,,,,,,3,4380,3990
,,,,,,,3.5,4760,4340
,,,,,,,4,5100,4650
,,,,,,,4.5,5530,5040
,,,,,,,5,5870,5350
,,,,,,,5.5,6380,5810
,,,,,,,6,6800,6200
