Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius inch,Rolling Circumference inch,Load Index PR Symbols,Inflation Pressure psi,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed,Speed,Speed,Speed,Speed,Speed
,,,,,,,,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport
,,SW inch,OD inch,,,,,6 mph,12 mph,16 mph,19 mph,25 mph,31 mph,40 mph
300/95R52 (12.4R52),W10X52 W9X52,12.2,74.4,34.9,227.6,156D 159A8,12,4630,3790,3660,3550,3370,3240,3090
,,,,,,,17,5950,4870,4700,4560,4340,4170,3970
,,,,,,,23,7210,5910,5690,5530,5270,5050,4810
,,,,,,,29,8050,6590,6350,6150,5860,5620,5360
,,,,,,,35,8510,6990,6720,6530,6220,5950,5680
,,,,,,,41,9260,7580,7320,7100,6770,6480,6170
,,,,,,,46,9920,8140,7850,7610,7250,6950,6610
,,,,,,,52,10760,8820,8490,8250,7850,7520,7170
,,,,,,,58,11420,9350,9020,8750,8330,7980,7610
,,,,,,,64,12410,10160,9790,9500,9060,8690,8270
,,,,,,,70,13230,10850,10450,10140,9660,9260,8820
